source,title,description,url,publishedAt,text,sentiment_label,sentiment_score
New York Post,"How China’s threats to clamp down on rare earth exports could wreak havoc on US tech giants, military contractors","The supply chains of tech giants like Apple, car firms like Tesla and even the US military will be thrown into chaos if China follows through on threats to further choke off shipments of rare earth elements, according to experts.",https://nypost.com/2025/10/13/business/how-chinas-threats-to-clamp-down-on-rare-earth-exports-could-wreak-havoc-on-us-tech-giants-military-contractors/,2025-10-13 20:26:30+00:00,"How China’s threats to clamp down on rare earth exports could wreak havoc on US tech giants, military contractors. The supply chains of tech giants like Apple, car firms like Tesla and even the US military will be thrown into chaos if China follows through on threats to further choke off shipments of rare earth elements, according to experts.",Negative,0.9980922341346741
TheStreet,"Billionaire investor talks US debt, geopolitics, and new world order","Bridgewater Capital founder Ray Dalio recently sat down for an interview with Bloomberg, during which he discussed everything from his upbringing to what he ...",https://www.thestreet.com/economy/billionaire-investor-talks-us-debt-geopolitics-and-new-world-order,2025-10-13 20:23:00+00:00,"Billionaire investor talks US debt, geopolitics, and new world order. Bridgewater Capital founder Ray Dalio recently sat down for an interview with Bloomberg, during which he discussed everything from his upbringing to what he ...",Neutral,0.9999860525131226
Yahoo Entertainment,Tesla Internship Gives Rutgers MBA Student Experience To Leverage,Rutgers MBA Spencer Donihi-Goddard was boarding a plane with his fiancée in Austin last spring when he learned that he had been chosen for a summer...,https://www.yahoo.com/news/articles/tesla-internship-gives-rutgers-mba-202058085.html,2025-10-13 20:20:58+00:00,Tesla Internship Gives Rutgers MBA Student Experience To Leverage. Rutgers MBA Spencer Donihi-Goddard was boarding a plane with his fiancée in Austin last spring when he learned that he had been chosen for a summer...,Neutral,0.9943950176239014
Yahoo Entertainment,Dow jumps nearly 600 points after Trump softens tone on China,"All three of the major indexes (^DJI, ^GSPC, ^IXIC) rebounded on Monday, with the Dow Jones Industrial Average closing nearly 588 points higher and the...",https://finance.yahoo.com/video/dow-jumps-nearly-600-points-201547262.html,2025-10-13 20:15:47+00:00,"Dow jumps nearly 600 points after Trump softens tone on China. All three of the major indexes (^DJI, ^GSPC, ^IXIC) rebounded on Monday, with the Dow Jones Industrial Average closing nearly 588 points higher and the...",Positive,0.9999786615371704
Men's Journal,Elon Musk Is Selling Unsold Tesla Cybertrucks to Himself,Elon Musk appears to have a solution for the massive fleet of unsold Tesla Cybertrucks — sell them to his private companies. Electrek is reporting that...,https://www.mensjournal.com/news/elon-musk-is-selling-unsold-tesla-cybertrucks-to-himself,2025-10-13 19:43:39+00:00,Elon Musk Is Selling Unsold Tesla Cybertrucks to Himself. Elon Musk appears to have a solution for the massive fleet of unsold Tesla Cybertrucks — sell them to his private companies. Electrek is reporting that...,Neutral,0.9999598264694214
Gizmodo.com,Is the AI Conveyor Belt of Capital About to Stop?,Good thing it's only the entire economy propped up by this right now.,https://gizmodo.com/is-the-ai-conveyor-belt-of-capital-about-to-stop-2000671017,2025-10-13 19:40:03+00:00,Is the AI Conveyor Belt of Capital About to Stop?. Good thing it's only the entire economy propped up by this right now.,Neutral,0.8569802045822144
SlashGear,Ford CEO Admits EV Market Will Be 'Way Smaller Than We Thought',"Ford’s CEO predicts slower EV growth as costs rise and tax breaks expire, saying the electric vehicle market will be “way smaller” than expected.",https://www.slashgear.com/1989023/ford-ceo-ev-tax-credit-ending-prediction/,2025-10-13 19:13:48+00:00,"Ford CEO Admits EV Market Will Be 'Way Smaller Than We Thought'. Ford’s CEO predicts slower EV growth as costs rise and tax breaks expire, saying the electric vehicle market will be “way smaller” than expected.",Negative,0.9999679327011108
TheStreet,Palantir rival quietly builds a big business,"Palantir Technologies' (PLTR) transformation is nothing short of insane. From its humble beginnings as a low-key military vendor, the company has effectively...",https://www.thestreet.com/technology/palantir-rival-quietly-builds-a-big-business,2025-10-13 19:13:00+00:00,"Palantir rival quietly builds a big business. Palantir Technologies' (PLTR) transformation is nothing short of insane. From its humble beginnings as a low-key military vendor, the company has effectively...",Positive,0.9999992847442627
Yahoo Entertainment,Tesla Boosts Q4 Production at Shanghai Gigafactory to Meet Rising Demand,China-made sales rise 2.8% in September after two-month decline,https://finance.yahoo.com/news/tesla-boosts-q4-production-shanghai-190603472.html,2025-10-13 19:06:03+00:00,Tesla Boosts Q4 Production at Shanghai Gigafactory to Meet Rising Demand. China-made sales rise 2.8% in September after two-month decline,Positive,1.0
The Verge,Tesla Cybertruck sales are flatlining,"After a brutal few months, Tesla sales are finally picking up thanks to expiring federal EV tax credits. But while customers are snatching up Model 3s and Ys, they are increasingly turning up their noses at the newest addition to Tesla’s lineup: the Cybertruc…",https://www.theverge.com/news/798889/tesla-cybertruck-sales-decrease-q3-2025,2025-10-13 19:03:24+00:00,"Tesla Cybertruck sales are flatlining. After a brutal few months, Tesla sales are finally picking up thanks to expiring federal EV tax credits. But while customers are snatching up Model 3s and Ys, they are increasingly turning up their noses at the newest addition to Tesla’s lineup: the Cybertruc…",Positive,0.9983578324317932
Biztoc.com,"Tesla Stock a Must Own Though Valuation a Guesswork, Melius Says",,https://biztoc.com/x/31371afaed3da255,2025-10-13 18:14:04+00:00,"Tesla Stock a Must Own Though Valuation a Guesswork, Melius Says",Neutral,0.9968627691268921
Electrek,"Ford cuts F-150 Lightning prices and boosts range after losing the $7,500 EV credit","Ford is cutting prices on the electric pickup by up to $4,000 to offset the loss of the federal EV tax credit. The 2026 Ford F-150 Lightning now offers more driving range at a lower price.



 more…",http://electrek.co/2025/10/13/ford-cuts-f-150-lightning-prices-after-losing-7500-ev-credit/,2025-10-13 18:06:41+00:00,"Ford cuts F-150 Lightning prices and boosts range after losing the $7,500 EV credit. Ford is cutting prices on the electric pickup by up to $4,000 to offset the loss of the federal EV tax credit. The 2026 Ford F-150 Lightning now offers more driving range at a lower price.



 more…",Positive,0.9958003163337708
Electrek,"Anker SOLIX C2000 Gen 2 power station and bundles 50% off early-bird savings, Jackery HomePower 3600 Plus at new low, more","This week’s Green Deals are kicking off with a new release, as Anker launches its SOLIX C2000 Gen 2 Portable Power Station 50% off early-bird savings that will score the power station (as well as bundle options) starting from $749 on October 28. Right behind …",http://electrek.co/2025/10/13/anker-solix-c2000-gen-2-power-station-jackery-more/,2025-10-13 18:00:00+00:00,"Anker SOLIX C2000 Gen 2 power station and bundles 50% off early-bird savings, Jackery HomePower 3600 Plus at new low, more. This week’s Green Deals are kicking off with a new release, as Anker launches its SOLIX C2000 Gen 2 Portable Power Station 50% off early-bird savings that will score the power station (as well as bundle options) starting from $749 on October 28. Right behind …",Neutral,0.9523048996925354
Biztoc.com,Tesla Stock Is Rallying Today: What's Behind The Move?,"Tesla Inc (NASDAQ:TSLA) shares are trading higher on Monday after Evercore ISI raised its price target on the stock. The company also reportedly increased production at its Shanghai facility.
What Happened: Evercore ISI analyst Chris McNally maintained an In-…",https://biztoc.com/x/b192c5f8c1d7cd9a,2025-10-13 17:51:34+00:00,"Tesla Stock Is Rallying Today: What's Behind The Move?. Tesla Inc (NASDAQ:TSLA) shares are trading higher on Monday after Evercore ISI raised its price target on the stock. The company also reportedly increased production at its Shanghai facility.
What Happened: Evercore ISI analyst Chris McNally maintained an In-…",Positive,0.9997560381889343
Gizmodo.com,"If You Can Read This, You’re About to Get Scammed",Scammers are pretending to be Elon Musk. They're stealing millions from hard-working people.,https://gizmodo.com/elon-musk-spacex-neuralink-grok-xai-investment-scam-2000669248,2025-10-13 17:30:01+00:00,"If You Can Read This, You’re About to Get Scammed. Scammers are pretending to be Elon Musk. They're stealing millions from hard-working people.",Negative,0.9791725277900696
Biztoc.com,Tesla Rival Lucid Rolls Out Gravity In Canada,"Lucid Group (NASDAQ:LCID) has begun delivering the Lucid Gravity in Canada, marking the SUV’s official entry into the North American market.
The Lucid Gravity Grand Touring features dual electric motors that produce 828 horsepower, enabling acceleration from …",https://biztoc.com/x/a429abda7cfd3ff1,2025-10-13 17:18:04+00:00,"Tesla Rival Lucid Rolls Out Gravity In Canada. Lucid Group (NASDAQ:LCID) has begun delivering the Lucid Gravity in Canada, marking the SUV’s official entry into the North American market.
The Lucid Gravity Grand Touring features dual electric motors that produce 828 horsepower, enabling acceleration from …",Positive,0.8786025643348694
Thefly.com,Charged: Wall Street analyst initiates 'must own' Tesla with a Buy,"See the rest of the story here.

thefly.com provides the latest financial news as it breaks. Known as a leader in market intelligence, The Fly's real-time, streaming news feed keeps individual investors, professional money managers, active traders, and corpor…",https://thefly.com/permalinks/entry.php/id4212537/TSLA;RIVN;GM;F;OKLO;CEG;GEV;ES;NEE;BEP;ARRY;CSIQ;SOL;ENPH;FTCI;FSLR;JKS;MAXN;SHLS;SEDG;SPWR;RUN-Charged-Wall-Street-analyst-initiates-must-own-Tesla-with-a-Buy,2025-10-13 17:03:53+00:00,"Charged: Wall Street analyst initiates 'must own' Tesla with a Buy. See the rest of the story here.

thefly.com provides the latest financial news as it breaks. Known as a leader in market intelligence, The Fly's real-time, streaming news feed keeps individual investors, professional money managers, active traders, and corpor…",Positive,0.9997757077217102
Forbes,How Thomson Reuters Became A Gen AI Powerhouse,"This edition of the Forbes CEO newsletter looks at how the company brought AI to its legal software platform, and how it plans to transform its other offerings.",https://www.forbes.com/sites/ceo/2025/10/13/how-thomson-reuters-became-a-gen-ai-powerhouse/,2025-10-13 16:43:16+00:00,"How Thomson Reuters Became A Gen AI Powerhouse. This edition of the Forbes CEO newsletter looks at how the company brought AI to its legal software platform, and how it plans to transform its other offerings.",Neutral,0.9999819993972778
Freerepublic.com,BREAKING: President Trump Axes Chief Saboteur!,"President Trump has just ousted Sergio Gor, the man many believe to be the Hatchet Man behind the sabotage of the Trump/Musk relationship. Sergio Gor previously served as director of the Office of Presidential Personnel, controlling hiring and firing across t…",https://freerepublic.com/focus/f-news/4346116/posts,2025-10-13 16:38:24+00:00,"BREAKING: President Trump Axes Chief Saboteur!. President Trump has just ousted Sergio Gor, the man many believe to be the Hatchet Man behind the sabotage of the Trump/Musk relationship. Sergio Gor previously served as director of the Office of Presidential Personnel, controlling hiring and firing across t…",Neutral,0.9999566078186035
Yahoo Entertainment,Taiwan Semi (TSM) is Going to $400,Top semi foundry is the backbone of the AI economy and makes NVIDIA magic possible,https://finance.yahoo.com/news/taiwan-semi-tsm-going-400-163200307.html,2025-10-13 16:32:00+00:00,Taiwan Semi (TSM) is Going to $400. Top semi foundry is the backbone of the AI economy and makes NVIDIA magic possible,Positive,0.9481884241104126
Yahoo Entertainment,"Investors Purchased 33% of Single-Family Homes In Q2, Report Finds","Real estate investors made just over one-third of all single-family home purchases in Q2, according to the Q2 2025 Investor Pulse Report from BatchData and...",https://finance.yahoo.com/news/investors-purchased-33-single-family-163104147.html,2025-10-13 16:31:04+00:00,"Investors Purchased 33% of Single-Family Homes In Q2, Report Finds. Real estate investors made just over one-third of all single-family home purchases in Q2, according to the Q2 2025 Investor Pulse Report from BatchData and...",Neutral,0.9999929666519165
Electrek,Thousands of Tesla owners join class action lawsuit over ‘Full Self-Driving’ in Australia,"Thousands of Tesla owners have reportedly joined a class action lawsuit against the automaker in Australia over false claims about its ‘Full Self-Driving’ (FSD) package.



 more…",http://electrek.co/2025/10/13/thousands-of-tesla-owners-join-class-action-lawsuit-over-full-self-driving-in-australia/,2025-10-13 16:29:48+00:00,"Thousands of Tesla owners join class action lawsuit over ‘Full Self-Driving’ in Australia. Thousands of Tesla owners have reportedly joined a class action lawsuit against the automaker in Australia over false claims about its ‘Full Self-Driving’ (FSD) package.



 more…",Negative,0.643441915512085
Biztoc.com,"Tesla stock rebounds, EV maker announces Shanghai factory Q4 ramp up","rebounded on Monday along with the broader market as President Trump downplayed his recent tough talk on China. But Tesla is also making some waves in China.
As reported by Reuters, Tesla vice president Tao Lin posted on Weibo that Tesla's Shanghai gigafactor…",https://biztoc.com/x/0f3f1202b93bd067,2025-10-13 16:23:29+00:00,"Tesla stock rebounds, EV maker announces Shanghai factory Q4 ramp up. rebounded on Monday along with the broader market as President Trump downplayed his recent tough talk on China. But Tesla is also making some waves in China.
As reported by Reuters, Tesla vice president Tao Lin posted on Weibo that Tesla's Shanghai gigafactor…",Positive,0.9686706066131592
Fark.com,"Tesla can't sell it's Cybertrucks, so Musk makes SpaceX and xAi buy them [Fail]","Tesla can't sell it's Cybertrucks, so Musk makes SpaceX and xAi buy them",https://www.fark.com/comments/13843336/Tesla-cant-sell-its-Cybertrucks-so-Musk-makes-SpaceX-xAi-buy-them,2025-10-13 16:05:03+00:00,"Tesla can't sell it's Cybertrucks, so Musk makes SpaceX and xAi buy them [Fail]. Tesla can't sell it's Cybertrucks, so Musk makes SpaceX and xAi buy them",Neutral,0.9979289770126343
Electrek,"Lucid (LCID) trolls Tesla using Elon Musk’s AI to ask, ‘What’s the best luxury EV?’","Lucid Motors (LCID) took a jab at Tesla (TSLA), asking Elon Musk’s own AI to confirm which brand really has the best luxury EV.



 more…",http://electrek.co/2025/10/13/lucid-trolls-tesla-asks-elon-musks-ai-whats-the-best-luxury-ev/,2025-10-13 16:03:43+00:00,"Lucid (LCID) trolls Tesla using Elon Musk’s AI to ask, ‘What’s the best luxury EV?’. Lucid Motors (LCID) took a jab at Tesla (TSLA), asking Elon Musk’s own AI to confirm which brand really has the best luxury EV.



 more…",Neutral,0.9999169111251831
Decrypt,BlackRock CEO Larry Fink: Bitcoin and Crypto 'Serve Same Purpose as Gold',BlackRock’s CEO walked back 2017 comments on Bitcoin in a recent interview and said he now sees it as a legitimate alternative asset.,https://decrypt.co/344062/larry-fink-bitcoin-alternative-investment,2025-10-13 16:03:19+00:00,BlackRock CEO Larry Fink: Bitcoin and Crypto 'Serve Same Purpose as Gold'. BlackRock’s CEO walked back 2017 comments on Bitcoin in a recent interview and said he now sees it as a legitimate alternative asset.,Neutral,0.9999858140945435
The Times of India,"US stock markets surged sharply today, reversing Friday’s massive loss: Dow, S&P 500, Nasdaq stage comeback as Trump tempers China tariff talk — top stock pick today","US stock markets surged Monday. The Dow jumped 574 points, rebounding from Friday’s 1.05% loss. The S&P 500 and Nasdaq gained 1.1% and 1.5%, recovering after Friday’s sharp declines of 0.8% and 1.7%. President Trump eased tariff fears on China. Tech stocks le…",https://economictimes.indiatimes.com/news/international/us/us-stock-markets-surged-sharply-today-reversing-fridays-massive-loss-dow-sp-500-nasdaq-stage-comeback-as-trump-tempers-china-tariff-talk-top-stock-pick-today/articleshow/124530996.cms,2025-10-13 15:59:30+00:00,"US stock markets surged sharply today, reversing Friday’s massive loss: Dow, S&P 500, Nasdaq stage comeback as Trump tempers China tariff talk — top stock pick today. US stock markets surged Monday. The Dow jumped 574 points, rebounding from Friday’s 1.05% loss. The S&P 500 and Nasdaq gained 1.1% and 1.5%, recovering after Friday’s sharp declines of 0.8% and 1.7%. President Trump eased tariff fears on China. Tech stocks le…",Positive,0.9998297691345215
Yahoo Entertainment,"Tesla stock rebounds, EV maker announces Shanghai factory Q4 ramp up",Tesla stock rebounded on Monday along with the broader market as President Trump downplayed his recent tough talk on China. But Tesla is also making some...,https://finance.yahoo.com/news/tesla-stock-rebounds-ev-maker-announces-shanghai-factory-q4-ramp-up-153022053.html,2025-10-13 15:30:22+00:00,"Tesla stock rebounds, EV maker announces Shanghai factory Q4 ramp up. Tesla stock rebounded on Monday along with the broader market as President Trump downplayed his recent tough talk on China. But Tesla is also making some...",Positive,0.9985572695732117
Gizmodo.com,Elon Musk’s Boring Company Accused of Nearly 800 Environmental Violations on Las Vegas Project,"Nevada could’ve fined the company more than $3 million, but regulators are seeking a reduced penalty of $242,800, citing an “extraordinary number of violations.”",https://gizmodo.com/elon-musks-boring-company-accused-of-nearly-800-environmental-violations-on-las-vegas-project-2000671820,2025-10-13 15:15:01+00:00,"Elon Musk’s Boring Company Accused of Nearly 800 Environmental Violations on Las Vegas Project. Nevada could’ve fined the company more than $3 million, but regulators are seeking a reduced penalty of $242,800, citing an “extraordinary number of violations.”",Negative,0.9951825737953186
Barchart.com,Stocks Supported by Trade Hopes and Broadcom’s AI Deal,"The S&P 500 Index ($SPX ) (SPY ) today is up +1.18%, the Dow Jones Industrials Index ($DOWI ) (DIA ) is up +0.97%, and the Nasdaq 100 Index ($IUXX ) (QQQ...",https://www.barchart.com/story/news/35409014/stocks-supported-by-trade-hopes-and-broadcoms-ai-deal,2025-10-13 15:11:24+00:00,"Stocks Supported by Trade Hopes and Broadcom’s AI Deal. The S&P 500 Index ($SPX ) (SPY ) today is up +1.18%, the Dow Jones Industrials Index ($DOWI ) (DIA ) is up +0.97%, and the Nasdaq 100 Index ($IUXX ) (QQQ...",Positive,0.9940056800842285
Atxjetsetter.com,Air Serbia is Launching Flights Between Belgrade and Toronto,"Air Serbia is launching 2x weekly flights between Nikola Tesla Airport in Belgrade and Toronto Pearson International Airport in May 2026.
The post Air Serbia is Launching Flights Between Belgrade and Toronto appeared first on ATX Jetsetter.",https://atxjetsetter.com/post/air-serbia-is-launching-flights-between-belgrade-and-toronto/,2025-10-13 15:05:51+00:00,"Air Serbia is Launching Flights Between Belgrade and Toronto. Air Serbia is launching 2x weekly flights between Nikola Tesla Airport in Belgrade and Toronto Pearson International Airport in May 2026.
The post Air Serbia is Launching Flights Between Belgrade and Toronto appeared first on ATX Jetsetter.",Neutral,0.9999982118606567
Biztoc.com,"Bloom Energy, USA Rare Earth, Broadcom, Tesla And Other Big Stocks Moving Higher On Monday","U.S. stocks were higher, with the Dow Jones index gaining around 500 points on Monday.
Shares of Bloom Energy Corporation (NYSE:BE) rose sharply during Monday's session after the company announced a $5 billion partnership with Brookfield Asset Management Inc.…",https://biztoc.com/x/51ecfe8095c49c37,2025-10-13 14:54:00+00:00,"Bloom Energy, USA Rare Earth, Broadcom, Tesla And Other Big Stocks Moving Higher On Monday. U.S. stocks were higher, with the Dow Jones index gaining around 500 points on Monday.
Shares of Bloom Energy Corporation (NYSE:BE) rose sharply during Monday's session after the company announced a $5 billion partnership with Brookfield Asset Management Inc.…",Positive,0.9997138381004333
Yahoo Entertainment,Are Young Entrepreneurs Overhyped? 'The Press Loves To Sensationalize The Young Guys',"Teen entrepreneurs and business owners in their 20s are harder to find than entrepreneurs who are in their 30s, 40s, and 50s. However, this rarity has also...",https://finance.yahoo.com/news/young-entrepreneurs-overhyped-press-loves-144607213.html,2025-10-13 14:46:07+00:00,"Are Young Entrepreneurs Overhyped? 'The Press Loves To Sensationalize The Young Guys'. Teen entrepreneurs and business owners in their 20s are harder to find than entrepreneurs who are in their 30s, 40s, and 50s. However, this rarity has also...",Negative,0.9914876222610474
Biztoc.com,"Here are Monday's biggest analyst calls: Nvidia, Apple, Tesla, AMD, Estee Lauder, Oracle, Yelp & more","Access Denied
You don't have permission to access ""http://www.cnbc.com/2025/10/13/monday-stocks-from-analyst-calls-like-nvidia.html"" on this server.
Reference #18.c607d417.1760365894.aedfb453
https://errors.edgesuite.net/18.c607d417.1760365894.aedfb453",https://biztoc.com/x/334b74aa005227ed,2025-10-13 14:31:50+00:00,"Here are Monday's biggest analyst calls: Nvidia, Apple, Tesla, AMD, Estee Lauder, Oracle, Yelp & more. Access Denied
You don't have permission to access ""http://www.cnbc.com/2025/10/13/monday-stocks-from-analyst-calls-like-nvidia.html"" on this server.
Reference #18.c607d417.1760365894.aedfb453
https://errors.edgesuite.net/18.c607d417.1760365894.aedfb453",Neutral,0.9997885823249817
Hip-Hop Wired,"Um, Ok: Meek Mill Asks How He Can Get Promo Like D4vd For His Next Album",Meek says the darnest things..,https://hiphopwired.com/2868359/meek-mill-d4vd/,2025-10-13 14:30:42+00:00,"Um, Ok: Meek Mill Asks How He Can Get Promo Like D4vd For His Next Album. Meek says the darnest things..",Neutral,0.9997959733009338
Insurance Journal,US Probes Driver Assistance Software in 2.9 Million Tesla Vehicles Over Traffic Violations,The U.S. National Highway Traffic Safety Administration said on Thursday that it is opening an investigation into 2.88 million Tesla vehicles equipped with its Full Self-Driving system over more than 50 reports of traffic-safety violations and a series of cra…,https://www.insurancejournal.com/news/national/2025/10/13/843431.htm,2025-10-13 14:22:56+00:00,US Probes Driver Assistance Software in 2.9 Million Tesla Vehicles Over Traffic Violations. The U.S. National Highway Traffic Safety Administration said on Thursday that it is opening an investigation into 2.88 million Tesla vehicles equipped with its Full Self-Driving system over more than 50 reports of traffic-safety violations and a series of cra…,Neutral,0.784047544002533
Electrek,Toyota’s best-selling car may finally go electric: Here’s our first look at the Corolla EV,"A fully electric Corolla? Toyota’s best-selling car of all time looks to be finally going electric after the automaker previewed the Corolla EV for the first time.



 more…",http://electrek.co/2025/10/13/toyotas-best-selling-car-electric/,2025-10-13 14:20:35+00:00,"Toyota’s best-selling car may finally go electric: Here’s our first look at the Corolla EV. A fully electric Corolla? Toyota’s best-selling car of all time looks to be finally going electric after the automaker previewed the Corolla EV for the first time.



 more…",Neutral,0.9782877564430237
Biztoc.com,"As Tesla Kicks Off Cybertruck Sales in Qatar, Should You Buy, Sell, or Hold TSLA Stock?","Join Barchart Premier to get Screeners that run automatically with the results emailed to you!
FREE 30 Day Trial
- Market Pulse
- VolatilityVolume & Open InterestHorizontal StrategiesButterfly Strategies
-
- Market PulseResourcesEuropean FuturesEuropean Group…",https://biztoc.com/x/8fba9b8088e3fac5,2025-10-13 14:09:34+00:00,"As Tesla Kicks Off Cybertruck Sales in Qatar, Should You Buy, Sell, or Hold TSLA Stock?. Join Barchart Premier to get Screeners that run automatically with the results emailed to you!
FREE 30 Day Trial
- Market Pulse
- VolatilityVolume & Open InterestHorizontal StrategiesButterfly Strategies
-
- Market PulseResourcesEuropean FuturesEuropean Group…",Neutral,0.9998618364334106
Barchart.com,Stocks Rebound as President Trump Softens China Rhetoric,"The S&P 500 Index ($SPX ) (SPY ) today is up +1.22%, the Dow Jones Industrials Index ($DOWI ) (DIA ) is up +0.91%, and the Nasdaq 100 Index ($IUXX ) (QQQ...",https://www.barchart.com/story/news/35407923/stocks-rebound-as-president-trump-softens-china-rhetoric,2025-10-13 14:04:26+00:00,"Stocks Rebound as President Trump Softens China Rhetoric. The S&P 500 Index ($SPX ) (SPY ) today is up +1.22%, the Dow Jones Industrials Index ($DOWI ) (DIA ) is up +0.91%, and the Nasdaq 100 Index ($IUXX ) (QQQ...",Positive,0.9999985694885254
